cell  80                                                                                                                              
      energy   
    1.3596E+01   1.26920E-10 0.4426
    1.3697E+01   7.47705E-11 0.5780
    1.3798E+01   5.33528E-11 0.7072
    1.3899E+01   1.31308E-11 0.7303
    1.3999E+01   2.70787E-11 1.0000
    1.4100E+01   9.09387E-12 1.0000
      total      4.45894E-07 0.0059
 
 cell  83                                                                                                                              
      energy   
    0.0000E+00   0.00000E+00 0.0000
    2.5000E-08   8.78463E-18 0.3204
    1.0071E-01   5.07414E-09 0.0171
    2.0143E-01   6.11920E-09 0.0225
    3.0214E-01   6.35450E-09 0.0257
    4.0286E-01   7.27637E-09 0.0267
    5.0357E-01   7.26170E-09 0.0290
    6.0429E-01   7.42481E-09 0.0297
    7.0500E-01   7.34090E-09 0.0309
    8.0571E-01   7.89155E-09 0.0311
    9.0643E-01   8.31306E-09 0.0316
    1.0071E+00   8.37803E-09 0.0334
    1.1079E+00   8.30344E-09 0.0341
    1.2086E+00   7.92986E-09 0.0350
    1.3093E+00   8.06830E-09 0.0356
    1.4100E+00   8.30434E-09 0.0354
    1.5107E+00   7.50877E-09 0.0377
    1.6114E+00   8.15912E-09 0.0374
    1.7121E+00   8.63749E-09 0.0369
    1.8129E+00   7.91887E-09 0.0384
    1.9136E+00   7.47978E-09 0.0400
    2.0143E+00   7.31985E-09 0.0414
    2.1150E+00   7.09056E-09 0.0425
    2.2157E+00   7.38543E-09 0.0422
    2.3164E+00   7.64572E-09 0.0411
    2.4171E+00   6.84480E-09 0.0437
    2.5179E+00   7.14438E-09 0.0437
    2.6186E+00   7.05854E-09 0.0444
    2.7193E+00   6.58401E-09 0.0467
    2.8200E+00   6.32946E-09 0.0478
    2.9207E+00   6.00856E-09 0.0494
    3.0214E+00   6.10045E-09 0.0492
    3.1221E+00   7.16900E-09 0.0456
    3.2229E+00   6.47771E-09 0.0493
    3.3236E+00   5.78503E-09 0.0530
    3.4243E+00   5.67200E-09 0.0543
    3.5250E+00   5.39088E-09 0.0560
    3.6257E+00   5.27179E-09 0.0566
    3.7264E+00   5.13352E-09 0.0571
    3.8271E+00   5.43917E-09 0.0563
    3.9279E+00   5.74684E-09 0.0543
    4.0286E+00   6.02794E-09 0.0533
    4.1293E+00   5.87145E-09 0.0539
    4.2300E+00   6.76451E-09 0.0510
    4.3307E+00   4.92086E-09 0.0602
    4.4314E+00   5.58952E-09 0.0560
    4.5321E+00   5.17794E-09 0.0582
    4.6329E+00   5.05440E-09 0.0595
    4.7336E+00   5.33155E-09 0.0585
    4.8343E+00   5.59587E-09 0.0570
    4.9350E+00   5.21761E-09 0.0598
    5.0357E+00   5.04536E-09 0.0618
    5.1364E+00   5.17178E-09 0.0621
    5.2371E+00   5.26021E-09 0.0609
    5.3379E+00   4.99720E-09 0.0615
    5.4386E+00   3.94653E-09 0.0684
    5.5393E+00   4.56185E-09 0.0637
    5.6400E+00   4.32826E-09 0.0663
    5.7407E+00   4.15929E-09 0.0683
    5.8414E+00   4.17069E-09 0.0686
    5.9421E+00   4.26414E-09 0.0689
    6.0429E+00   3.69711E-09 0.0726
    6.1436E+00   3.05602E-09 0.0801
    6.2443E+00   3.33218E-09 0.0777
    6.3450E+00   2.25494E-09 0.0937
    6.4457E+00   3.24105E-09 0.0810
    6.5464E+00   3.30678E-09 0.0784
    6.6471E+00   3.56022E-09 0.0771
    6.7479E+00   3.06725E-09 0.0823
    6.8486E+00   2.96995E-09 0.0845
    6.9493E+00   2.64654E-09 0.0876
    7.0500E+00   3.18516E-09 0.0811
    7.1507E+00   2.96186E-09 0.0848
    7.2514E+00   2.84092E-09 0.0894
    7.3521E+00   2.03549E-09 0.1012
    7.4529E+00   1.36935E-09 0.1197
    7.5536E+00   1.31802E-09 0.1256
    7.6543E+00   1.55142E-09 0.1128
    7.7550E+00   1.22798E-09 0.1287
    7.8557E+00   9.12430E-10 0.1526
    7.9564E+00   1.10651E-09 0.1339
    8.0571E+00   9.11932E-10 0.1466
    8.1579E+00   7.53096E-10 0.1623
    8.2586E+00   1.38073E-09 0.1244
    8.3593E+00   1.52808E-09 0.1194
    8.4600E+00   8.44404E-10 0.1607
    8.5607E+00   1.58407E-09 0.1189
    8.6614E+00   1.07982E-09 0.1407
    8.7621E+00   1.11659E-09 0.1435
    8.8629E+00   9.34336E-10 0.1497
    8.9636E+00   1.10374E-09 0.1379
    9.0643E+00   6.93329E-10 0.1737
    9.1650E+00   8.22988E-10 0.1672
    9.2657E+00   5.01419E-10 0.2060
    9.3664E+00   6.99841E-10 0.1748
    9.4671E+00   5.04789E-10 0.2084
    9.5679E+00   6.90596E-10 0.1849
    9.6686E+00   8.67816E-10 0.1647
    9.7693E+00   5.56109E-10 0.2056
    9.8700E+00   7.19980E-10 0.1785
    9.9707E+00   5.34868E-10 0.2033
    1.0071E+01   5.75531E-10 0.1921
    1.0172E+01   5.25695E-10 0.2104
    1.0273E+01   4.74685E-10 0.2184
    1.0374E+01   4.99565E-10 0.2224
    1.0474E+01   5.43677E-10 0.2048
    1.0575E+01   4.52069E-10 0.2326
    1.0676E+01   4.34018E-10 0.2268
    1.0776E+01   3.22296E-10 0.2629
    1.0877E+01   3.18755E-10 0.3043
    1.0978E+01   2.31876E-10 0.3238
    1.1079E+01   1.76000E-10 0.3786
    1.1179E+01   1.86423E-10 0.3454
    1.1280E+01   3.54083E-10 0.2695
    1.1381E+01   2.39031E-10 0.3315
    1.1481E+01   1.47929E-10 0.3817
    1.1582E+01   2.05182E-10 0.3441
    1.1683E+01   2.18724E-10 0.3440
    1.1784E+01   8.61710E-11 0.4816
    1.1884E+01   2.23935E-10 0.3323
    1.1985E+01   2.43612E-10 0.3600
    1.2086E+01   5.42571E-11 0.7160
    1.2186E+01   7.70444E-11 0.6010
    1.2287E+01   8.14915E-11 0.5261
    1.2388E+01   2.06481E-11 0.7074
    1.2489E+01   2.08234E-10 0.3423
    1.2589E+01   4.21530E-12 1.0000
    1.2690E+01   1.70474E-10 0.3801
    1.2791E+01   7.83110E-11 0.5904
