1tally        4        nps =   802086646
           tally type 4    track length estimate of particle flux.      units   1/cm**2        
           particle(s): neutrons 

           volumes 
                   cell:      80           81           82           83           84           85                  
                         9.98306E-01  9.98306E-01  9.98306E-01  9.98306E-01  9.98306E-01  9.98306E-01
 
 cell  80                                                                                                                              
      energy   
    1.2100E+01   6.05248E-10 0.7096
    1.2200E+01   3.01182E-10 1.0000
    1.2300E+01   4.07497E-10 0.8113
    1.2400E+01   6.69599E-10 0.7193
    1.2500E+01   0.00000E+00 0.0000
    1.2600E+01   5.01655E-10 0.7095
    1.2700E+01   2.80286E-10 1.0000
    1.2800E+01   3.08637E-10 1.0000
    1.2900E+01   3.72079E-10 1.0000
    1.3000E+01   3.99886E-10 1.0000
    1.3100E+01   0.00000E+00 0.0000
    1.3200E+01   3.00294E-10 0.7368
    1.3300E+01   0.00000E+00 0.0000
    1.3400E+01   0.00000E+00 0.0000
    1.3500E+01   0.00000E+00 0.0000
    1.3600E+01   7.00790E-11 1.0000
    1.3700E+01   0.00000E+00 0.0000
    1.3800E+01   2.90772E-10 1.0000
    1.3900E+01   0.00000E+00 0.0000
    1.4000E+01   0.00000E+00 0.0000
    1.4100E+01   9.97179E-11 1.0000
      total      2.68973E-06 0.0107
 
 cell  83                                                                                                                              
      energy   
    0.0000E+00   0.00000E+00 0.0000
    1.0000E-01   5.23109E-07 0.0242
    2.0000E-01   1.01666E-07 0.0494
    3.0000E-01   8.09512E-08 0.0556
    4.0000E-01   7.69269E-08 0.0578
    5.0000E-01   6.69569E-08 0.0621
    6.0000E-01   5.65227E-08 0.0686
    7.0000E-01   6.00466E-08 0.0678
    8.0000E-01   5.95343E-08 0.0668
    9.0000E-01   5.89145E-08 0.0679
    1.0000E+00   5.14748E-08 0.0725
    1.1000E+00   4.60039E-08 0.0770
    1.2000E+00   5.24915E-08 0.0730
    1.3000E+00   5.19976E-08 0.0733
    1.4000E+00   4.84063E-08 0.0763
    1.5000E+00   3.82967E-08 0.0869
    1.6000E+00   3.84226E-08 0.0859
    1.7000E+00   4.16596E-08 0.0830
    1.8000E+00   3.79544E-08 0.0854
    1.9000E+00   3.78578E-08 0.0862
    2.0000E+00   3.33467E-08 0.0920
    2.1000E+00   3.55016E-08 0.0897
    2.2000E+00   3.43745E-08 0.0920
    2.3000E+00   3.49798E-08 0.0918
    2.4000E+00   3.62334E-08 0.0899
    2.5000E+00   3.66640E-08 0.0884
    2.6000E+00   3.18860E-08 0.0943
    2.7000E+00   2.49384E-08 0.1061
    2.8000E+00   2.97927E-08 0.0996
    2.9000E+00   2.83504E-08 0.1008
    3.0000E+00   2.31101E-08 0.1117
    3.1000E+00   2.90276E-08 0.0995
    3.2000E+00   2.80470E-08 0.1020
    3.3000E+00   2.33829E-08 0.1104
    3.4000E+00   2.15137E-08 0.1147
    3.5000E+00   1.91052E-08 0.1234
    3.6000E+00   1.95593E-08 0.1202
    3.7000E+00   1.66576E-08 0.1334
    3.8000E+00   1.59049E-08 0.1324
    3.9000E+00   1.88697E-08 0.1222
    4.0000E+00   1.80607E-08 0.1242
    4.1000E+00   2.08924E-08 0.1218
    4.2000E+00   2.26581E-08 0.1145
    4.3000E+00   1.69972E-08 0.1303
    4.4000E+00   2.19060E-08 0.1148
    4.5000E+00   1.33966E-08 0.1423
    4.6000E+00   1.89635E-08 0.1252
    4.7000E+00   1.73952E-08 0.1289
    4.8000E+00   2.20948E-08 0.1173
    4.9000E+00   2.28812E-08 0.1153
    5.0000E+00   1.69727E-08 0.1342
    5.1000E+00   1.61016E-08 0.1371
    5.2000E+00   1.73483E-08 0.1310
    5.3000E+00   1.58723E-08 0.1333
    5.4000E+00   1.39138E-08 0.1433
    5.5000E+00   1.54645E-08 0.1331
    5.6000E+00   1.56218E-08 0.1380
    5.7000E+00   1.70433E-08 0.1304
    5.8000E+00   1.37944E-08 0.1445
    5.9000E+00   1.35505E-08 0.1492
    6.0000E+00   1.33193E-08 0.1487
    6.1000E+00   1.03700E-08 0.1702
    6.2000E+00   1.20412E-08 0.1545
    6.3000E+00   6.03038E-09 0.2258
    6.4000E+00   7.59035E-09 0.1923
    6.5000E+00   1.21873E-08 0.1584
    6.6000E+00   9.54880E-09 0.1757
    6.7000E+00   6.82857E-09 0.2097
    6.8000E+00   8.39612E-09 0.1874
    6.9000E+00   6.96772E-09 0.2082
    7.0000E+00   1.14430E-08 0.1613
    7.1000E+00   9.18146E-09 0.1790
    7.2000E+00   9.24568E-09 0.1854
    7.3000E+00   8.98066E-09 0.1770
    7.4000E+00   2.53946E-09 0.3315
    7.5000E+00   4.27547E-09 0.2508
    7.6000E+00   2.45250E-09 0.3466
    7.7000E+00   3.63876E-09 0.2715
    7.8000E+00   1.38904E-09 0.4605
    7.9000E+00   3.13388E-09 0.3108
    8.0000E+00   2.36193E-09 0.3136
    8.1000E+00   2.23088E-09 0.3742
    8.2000E+00   3.08734E-09 0.3052
    8.3000E+00   7.15200E-09 0.2033
    8.4000E+00   2.75225E-09 0.3259
    8.5000E+00   3.34838E-09 0.2949
    8.6000E+00   2.97644E-09 0.3152
    8.7000E+00   3.37499E-09 0.2806
    8.8000E+00   3.66890E-09 0.2752
    8.9000E+00   3.50785E-09 0.2605
    9.0000E+00   2.75202E-09 0.3203
    9.1000E+00   1.35374E-09 0.4506
    9.2000E+00   1.36969E-09 0.4710
    9.3000E+00   1.85163E-09 0.3840
    9.4000E+00   1.78777E-09 0.4362
    9.5000E+00   1.14008E-09 0.4082
    9.6000E+00   1.63751E-09 0.4377
    9.7000E+00   2.30851E-09 0.3519
    9.8000E+00   2.04690E-09 0.3745
    9.9000E+00   1.49488E-09 0.3967
    1.0000E+01   1.38991E-09 0.4514
    1.0100E+01   1.57909E-09 0.3842
    1.0200E+01   8.79243E-10 0.5350
    1.0300E+01   1.47597E-09 0.4151
    1.0400E+01   1.29909E-09 0.4550
    1.0500E+01   9.74498E-10 0.5161
    1.0600E+01   1.02488E-09 0.5810
    1.0700E+01   1.38032E-09 0.4130
    1.0800E+01   1.11415E-09 0.4697
    1.0900E+01   7.24015E-10 0.7136
    1.1000E+01   7.49686E-10 0.6128
    1.1100E+01   2.56396E-10 1.0000
    1.1200E+01   3.44946E-10 0.8357
    1.1300E+01   1.00473E-09 0.5337
    1.1400E+01   1.04708E-09 0.5836
    1.1500E+01   0.00000E+00 0.0000
    1.1600E+01   2.69476E-10 1.0000
    1.1700E+01   2.60545E-10 1.0000
    1.1800E+01   0.00000E+00 0.0000
    1.1900E+01   3.76783E-10 1.0000
    1.2000E+01   7.23086E-10 0.7125
    1.2100E+01   0.00000E+00 0.0000
    1.2200E+01   3.92389E-10 1.0000
    1.2300E+01   0.00000E+00 0.0000
    1.2400E+01   0.00000E+00 0.0000
    1.2500E+01   2.10578E-10 1.0000
    1.2600E+01   0.00000E+00 0.0000
    1.2700E+01   2.56023E-10 0.7370
    1.2800E+01   7.57506E-10 0.7073
    1.2900E+01   0.00000E+00 0.0000
    1.3000E+01   0.00000E+00 0.0000
    1.3100E+01   0.00000E+00 0.0000
    1.3200E+01   0.00000E+00 0.0000
    1.3300E+01   0.00000E+00 0.0000
    1.3400E+01   1.92611E-10 1.0000
    1.3500E+01   0.00000E+00 0.0000
    1.3600E+01   9.58094E-10 0.5846
    1.3700E+01   5.99767E-10 0.7191
    1.3800E+01   0.00000E+00 0.0000
    1.3900E+01   0.00000E+00 0.0000
    1.4000E+01   0.00000E+00 0.0000
    1.4100E+01   0.00000E+00 0.0000
      total      2.64337E-06 0.0108
 
 cell  84                                                                                                                              
      energy   
    0.0000E+00   0.00000E+00 0.0000
    1.0000E-01   6.34141E-07 0.0220
    2.0000E-01   1.11903E-07 0.0477
    3.0000E-01   9.45019E-08 0.0526
    4.0000E-01   8.54119E-08 0.0546
    5.0000E-01   7.36433E-08 0.0594
    6.0000E-01   7.97131E-08 0.0574
    7.0000E-01   7.16337E-08 0.0615
    8.0000E-01   6.72856E-08 0.0637
    9.0000E-01   7.22471E-08 0.0614
    1.0000E+00   5.39324E-08 0.0698
    1.1000E+00   5.43633E-08 0.0703
    1.2000E+00   5.02232E-08 0.0738
    1.3000E+00   5.43163E-08 0.0712
    1.4000E+00   5.38354E-08 0.0719
    1.5000E+00   4.78598E-08 0.0767
    1.6000E+00   4.99985E-08 0.0746
    1.7000E+00   3.84401E-08 0.0830
    1.8000E+00   3.89563E-08 0.0854
    1.9000E+00   4.14424E-08 0.0830
    2.0000E+00   4.25558E-08 0.0814
    2.1000E+00   4.22839E-08 0.0824
    2.2000E+00   4.26184E-08 0.0819
    2.3000E+00   3.98140E-08 0.0829
    2.4000E+00   3.43590E-08 0.0927
    2.5000E+00   3.66609E-08 0.0888
    2.6000E+00   3.47614E-08 0.0909
