18-Ar-40(n,total) ENDF/B-VII.1
243203.0,15.1221
243211.0,13.6789
243233.0,7.30626
243241.0,5.53464
243247.0,4.39914
243254.0,3.55745
243261.0,2.9447
243269.0,2.40728
243278.0,2.02988
243288.0,1.71708
243302.0,1.4534
243319.0,1.24515
243341.0,1.0787
243370.0,0.958101
243398.0,0.885615
243448.0,0.81351
243539.0,0.751423
243738.0,0.701689
244413.0,0.647515
245000.0,0.613906
246000.0,0.481745
246178.0,0.480471
246378.0,0.486448
246417.0,0.505233
246427.0,0.529886
246433.0,0.567184
246439.0,0.635514
246444.0,0.741864
246449.0,0.884448
246453.0,1.08885
246458.0,1.41544
246465.0,1.93265
246476.0,3.07365
246483.0,3.50028
246488.0,3.61537
246493.0,3.50546
246499.0,3.11698
246515.0,1.66606
246520.0,1.2674
246525.0,1.01147
246530.0,0.829327
246533.0,0.724193
246538.0,0.638929
246543.0,0.586738
246549.0,0.54807
246559.0,0.5219
246584.0,0.500393
246690.0,0.484356
247033.0,0.474436
248075.0,0.36627
249105.0,0.298698
249778.0,0.276416
250323.0,0.269439
250689.0,0.278727
251198.0,0.319411
251482.0,0.361608
251719.0,0.421215
251965.0,0.513471
252239.0,0.61755
252476.0,0.756212
252665.0,0.910357
252855.0,1.11308
253091.0,1.39858
253262.0,1.60116
253489.0,1.98473
253716.0,2.50114
253981.0,3.28445
254322.0,4.63893
255071.0,7.96072
255343.0,9.44776
255368.0,9.86369
255380.0,10.4939
255393.0,11.9022
255416.0,16.2419
255425.0,16.8733
255434.0,16.3065
255460.0,11.7954
255468.0,10.8957
255480.0,10.2888
255506.0,10.0197
255514.0,10.0115
256000.0,10.8355
256622.0,10.1087
257100.0,9.14478
257794.0,7.25323
257929.0,7.08439
258000.0,7.19254
258045.0,7.52182
258084.0,8.19913
258109.0,9.05204
258129.0,10.2544
258147.0,12.0092
258162.0,14.3229
258182.0,18.6648
258199.0,22.6927
258211.0,24.2675
258217.0,24.4578
258228.0,23.7115
258244.0,20.7597
258269.0,14.8973
258286.0,12.2158
258304.0,10.4129
258324.0,9.14509
258353.0,8.07642
258383.0,7.48709
258437.0,6.92622
258543.0,6.45646
258826.0,6.02372
260111.0,4.69608
261131.0,3.94931
262828.0,3.13179
266401.0,1.95266
267359.0,1.49508
267633.0,1.28969
267843.0,1.05702
267982.0,0.849426
268055.0,0.688949
268237.0,0.226499
268276.0,0.140413
268299.0,0.0958862
268317.0,0.0690152
268331.0,0.0524929
268342.0,0.0426311
268349.0,0.0381715
268358.0,0.0353856
268362.0,0.0350601
268368.0,0.0357049
268374.0,0.0383524
268381.0,0.043221
268388.0,0.0505153
268396.0,0.0625684
268405.0,0.0794236
268414.0,0.103916
268424.0,0.137506
268435.0,0.185667
268448.0,0.253846
268462.0,0.349421
268476.0,0.482312
268492.0,0.657798
268509.0,0.896826
268526.0,1.20766
268546.0,1.65301
268568.0,2.26672
268596.0,3.2356
268634.0,4.86155
268696.0,7.75047
268731.0,8.99308
268764.0,9.69089
268800.0,9.9556
268844.0,9.76016
269058.0,7.08802
269180.0,6.0475
269320.0,5.25737
269494.0,4.61999
269714.0,4.11641
270053.0,3.65099
270552.0,3.22799
271351.0,2.8531
272409.0,2.58341
274000.0,2.40183
274178.0,2.39979
274829.0,2.46295
275031.0,2.52596
275063.0,2.52396
275248.0,2.60431
275355.0,2.80599
275417.0,3.05325
275470.0,3.40497
275511.0,3.85635
275548.0,4.46487
275579.0,5.24932
275609.0,6.35891
275635.0,7.75256
275660.0,9.73913
275686.0,12.4512
275731.0,18.3681
275747.0,19.9519
275764.0,20.5327
275782.0,19.8057
275807.0,17.0515
275850.0,11.4592
275874.0,9.03223
275897.0,7.36429
275922.0,5.98996
275948.0,5.01041
275981.0,4.1321
276013.0,3.5415
276054.0,3.06433
276106.0,2.67691
276175.0,2.37417
